airport_ident,length_ft,width_ft,he_latitude_deg,he_longitude_deg
06IL,2580.0,70.0,,
06IS,2600.0,70.0,,
06KS,25.0,25.0,,
06KY,60.0,60.0,,
06LA,39.0,39.0,,
06LL,40.0,40.0,,
06LS,40.0,40.0,,
06MA,15.0,15.0,,
06MD,60.0,60.0,,
06MI,45.0,45.0,,
06MI,45.0,45.0,,
06MO,3000.0,30.0,39.22779846191406,-94.8022003173828
06MT,2200.0,60.0,,
06N,2811.0,60.0,41.43370056152344,-74.38700103759766
06NC,2600.0,90.0,,
06ND,2800.0,50.0,,
06NE,130.0,95.0,,
06NH,1900.0,150.0,,
06NY,2000.0,75.0,,
06O1,40.0,40.0,,
06OH,2400.0,100.0,,
06OI,2256.0,45.0,,
06OK,300.0,100.0,,
06OR,1000.0,80.0,,
06PA,2965.0,100.0,,
06PN,15.0,15.0,,
06PN,80.0,80.0,,
06R,2480.0,30.0,,
06SN,2400.0,75.0,,
06TA,1900.0,15.0,,
06TE,3500.0,50.0,30.313100814819336,-95.0229034423828
06TN,2000.0,50.0,,
06TT,3129.0,75.0,30.85709953308105,-100.19830322265624
06TX,1680.0,60.0,,
06VA,2000.0,100.0,,
06WA,60.0,40.0,,
06WN,2845.0,30.0,46.92359924316406,-122.5479965209961
06XS,1750.0,100.0,,
06Y,2997.0,60.0,45.82619857788086,-96.15740203857422
07AL,6000.0,1200.0,,
07AR,3000.0,60.0,,
07B,3186.0,100.0,44.44419860839844,-68.56659698486328
07CA,40.0,40.0,,
07CL,2220.0,50.0,,
07CO,3100.0,75.0,,
07D,2244.0,65.0,43.0614013671875,-82.72360229492188
07FA,4500.0,70.0,25.33009910583496,-80.27040100097656
07FL,67.0,65.0,,
07GA,1700.0,80.0,,
07GE,1860.0,75.0,,
07I,15000.0,4000.0,,
07IA,1600.0,60.0,40.645694,-95.021189
07ID,3000.0,75.0,,
07II,60.0,60.0,,
07IN,1860.0,80.0,,
07K,3700.0,60.0,41.1067008972168,-98.04940032958984
07KS,2000.0,45.0,,
07KY,2000.0,100.0,,
07LA,30.0,15.0,,
07LS,50.0,50.0,,
07MA,120.0,60.0,,
07MD,1000.0,70.0,,
07ME,900.0,200.0,,
07MI,2904.0,100.0,,
07MN,2600.0,50.0,,
07MO,2700.0,40.0,,
07MT,13500.0,300.0,48.41180038452149,-106.50399780273438
07N,2200.0,100.0,,
07NC,2000.0,50.0,,
07NH,2500.0,200.0,,
07NH,2500.0,200.0,,
07NJ,45.0,45.0,,
07NY,50.0,50.0,,
07OH,30.0,30.0,,
07OK,2400.0,80.0,,
07OR,1200.0,100.0,,
07PN,1600.0,100.0,,
07PR,45.0,45.0,,
07TA,2200.0,125.0,,
07TA,200.0,200.0,,
07TE,5000.0,100.0,27.71640014648437,-97.50640106201172
07TN,1800.0,75.0,,
07TS,2500.0,75.0,,
07TX,400.0,50.0,,
07VA,1600.0,50.0,,
07VT,526.0,20.0,,
07VT,595.0,20.0,,
07WA,53.0,53.0,,
07WI,1500.0,50.0,,
07WY,2200.0,50.0,,
07XA,37.0,37.0,,
07XS,30.0,30.0,,
07Y,2850.0,150.0,46.95209884643555,-93.59559631347656
08AK,1200.0,80.0,,
08AL,4000.0,200.0,,
08AN,1300.0,50.0,,
08AR,50.0,50.0,,
08AZ,42.0,42.0,,
08B,1935.0,100.0,43.99829864501953,-69.8843002319336
08CA,60.0,60.0,,
08CL,2000.0,50.0,,
08CN,50.0,50.0,,
08CO,2600.0,75.0,,
08CT,4700.0,1400.0,,
08F,2584.0,80.0,,
08FA,3390.0,75.0,,
08FD,4138.0,104.0,,
08FL,2500.0,100.0,,
08G,60.0,56.0,,
08GA,5000.0,150.0,,
08ID,2500.0,60.0,,
08II,30.0,30.0,,
08IL,2200.0,75.0,,
08IN,5000.0,1600.0,,
08IS,1320.0,70.0,,
08KS,2700.0,99.0,,
08KT,40.0,40.0,,
08KY,2500.0,60.0,,
08LA,30.0,15.0,,
08LL,2190.0,100.0,,
08LS,2000.0,60.0,,
08MA,1000.0,18.0,,
08MD,45.0,45.0,,
08ME,2300.0,90.0,,
08MI,60.0,60.0,,
08MN,11088.0,6000.0,,
08MO,2640.0,50.0,,
08MO,2140.0,48.0,,
08MS,3725.0,50.0,34.66400146484375,-89.86250305175781
08MT,2600.0,80.0,,
08N,2635.0,120.0,,
08NC,3200.0,50.0,,
08ND,1300.0,75.0,,
08NE,3000.0,100.0,,
08NH,80.0,80.0,,
08NJ,90.0,90.0,,
08NR,1400.0,40.0,,
08NY,550.0,60.0,,
08NY,500.0,40.0,,
08OH,3000.0,50.0,,
08OK,1800.0,50.0,,
08OL,1029.0,40.0,,
08OR,2800.0,20.0,,
08PA,200.0,150.0,,
08PN,50.0,50.0,,
08R,2129.0,30.0,41.48910140991211,-71.6167984008789
08SD,42.0,42.0,,
08TA,200.0,100.0,,
08TE,3100.0,50.0,29.971900939941406,-98.74250030517578
08TT,2015.0,75.0,,
08TX,2100.0,30.0,,
08TX,1800.0,100.0,,
08U,3600.0,50.0,,
08VA,1800.0,50.0,,
08WA,100.0,100.0,,
08XS,2350.0,100.0,,
09AA,22.0,24.0,,
09AK,1300.0,60.0,,
09AR,135.0,100.0,,
09AZ,2350.0,80.0,,
09CA,65.0,65.0,,
09CL,3000.0,50.0,39.11750030517578,-121.0540008544922
09CN,50.0,50.0,,
09CO,3250.0,65.0,,
09FA,4800.0,50.0,27.23889923095703,-81.41310119628906
09FD,2649.0,100.0,,
09FL,3000.0,150.0,,
09GA,2400.0,70.0,,
09I,5000.0,1000.0,,
09I,5000.0,1000.0,,
09IA,2700.0,80.0,,
09ID,2300.0,100.0,,
09II,1600.0,100.0,,
09IL,40.0,40.0,,
09IN,2200.0,70.0,,
09IN,2200.0,50.0,,
09IS,39.0,31.0,,
09KS,2500.0,60.0,,
09KY,50.0,50.0,,
09LA,50.0,50.0,,
09LL,2300.0,80.0,,
09LS,40.0,40.0,,
09MA,1700.0,50.0,,
09MA,2000.0,100.0,,
09ME,2000.0,100.0,,
09MI,40.0,40.0,,
09MO,1320.0,50.0,,
09MT,4018.0,50.0,,
09N,1863.0,75.0,,
09NC,2400.0,80.0,,
09NE,2500.0,50.0,,
09NJ,100.0,100.0,,
09NR,1800.0,35.0,,
09NR,24.0,24.0,,
09NR,24.0,24.0,,
09NY,100.0,100.0,,
09OK,2500.0,50.0,,
09OR,50.0,50.0,,
09PA,2300.0,200.0,,
09S,1765.0,150.0,48.8385009765625,-117.28399658203124
09TA,2400.0,40.0,,
09TE,2815.0,45.0,,
09TN,80.0,80.0,,
09TS,4200.0,42.0,29.48240089416504,-103.15799713134766
09TX,2340.0,120.0,,
09TX,1220.0,120.0,,
09TX,5200.0,120.0,,
09VA,1100.0,50.0,,
09VG,96.0,60.0,,
09W,60.0,60.0,,
09WA,60.0,60.0,,
09WI,2500.0,100.0,,
09XS,90.0,90.0,,
09Y,8000.0,500.0,,
0AA7,2539.0,100.0,,
0AK,2541.0,55.0,61.934502,-162.891998
0AK0,1050.0,70.0,,
0AK1,3000.0,2000.0,,
0AK1,2200.0,50.0,,
0AK2,1000.0,150.0,,
0AK3,900.0,100.0,,
0AK5,1550.0,120.0,,
0AK6,1700.0,60.0,,
0AK7,2400.0,75.0,,
0AK8,150.0,150.0,,
0AK9,2000.0,30.0,,
0AL0,90.0,90.0,,
0AL1,2640.0,70.0,,
0AL2,24.0,21.0,,
0AL3,24.0,24.0,,
0AL4,30.0,30.0,,
0AL5,2200.0,100.0,,
0AL6,49.0,49.0,,
0AL7,30.0,30.0,,
0AL8,55.0,55.0,,
0AL9,2200.0,50.0,,
0AR0,60.0,60.0,,
0AR2,2800.0,60.0,,
0AR3,2000.0,50.0,,
0AR4,11.0,11.0,,
0AR5,42.0,42.0,,
0AR6,20.0,20.0,,
0AR7,2200.0,50.0,,
0AR8,30.0,30.0,,
0AR9,10.0,10.0,,
0AZ0,40.0,40.0,,
0AZ1,2000.0,40.0,,
0AZ1,3250.0,50.0,,
0AZ1,2500.0,75.0,,
0AZ2,1500.0,100.0,33.77669906616211,-113.63999938964844
0AZ2,3500.0,100.0,33.77330017089844,-113.64199829101562
0AZ4,2900.0,130.0,,
0AZ5,1400.0,60.0,,
0AZ6,40.0,45.0,,
0AZ6,40.0,45.0,,
0AZ6,40.0,45.0,,
0AZ7,50.0,50.0,,
0B2,1730.0,30.0,44.76620101928711,-68.76850128173828
0B7,2575.0,30.0,,
0C1,2375.0,35.0,39.49089813232422,-94.7791976928711
0C2,2640.0,100.0,41.77090072631836,-88.69869995117188
0C5,3800.0,100.0,43.57120132446289,-85.28060150146484
0C7,3980.0,200.0,41.51639938354492,-89.13240051269531
0C8,2831.0,180.0,41.51559829711914,-88.6051025390625
0CA0,86.0,86.0,,
0CA1,2482.0,30.0,34.98820114135742,-120.4540023803711
0CA2,45.0,45.0,,
0CA3,2100.0,20.0,,
0CA4,3600.0,50.0,,
0CA5,1400.0,30.0,,
0CA6,2400.0,40.0,,
0CA7,85.0,85.0,,
0CA8,2250.0,50.0,,
0CA9,3300.0,60.0,35.590301513671875,-120.33799743652344
0CD0,50.0,50.0,,
0CD1,45.0,45.0,,
0CD2,2500.0,50.0,,
0CD2,5000.0,100.0,,
0CD4,25.0,25.0,,
0CD5,4500.0,70.0,,
0CD6,40.0,40.0,,
0CD7,956.0,300.0,,
0CD8,50.0,50.0,,
0CD9,50.0,50.0,,
0CL0,3720.0,75.0,,
0CL1,3360.0,100.0,,
0CL1,2040.0,100.0,,
0CL2,113.0,55.0,,
0CL3,1800.0,50.0,,
0CL3,2400.0,50.0,,
0CL4,50.0,50.0,,
0CL5,58.0,58.0,,
0CL6,1900.0,70.0,,
0CL7,65.0,65.0,,
0CL8,3500.0,80.0,,
0CL8,80.0,80.0,,
0CL9,20.0,20.0,,
0CO0,100.0,100.0,,
0CO1,2500.0,60.0,,
0CO2,4000.0,40.0,38.84880065917969,-106.9260025024414
0CO3,4200.0,30.0,,
0CO4,120.0,108.0,,
0CO6,4500.0,150.0,,
0CO6,4000.0,150.0,,
0CO7,152.0,64.0,,
0CO8,2000.0,30.0,,
0CO9,2600.0,50.0,,
0CT0,36.0,36.0,,
0CT1,50.0,50.0,,
0CT2,40.0,40.0,,
0CT3,60.0,60.0,,
0CT5,50.0,50.0,,
0CT6,65.0,65.0,,
0CT7,66.0,48.0,,
0CT8,60.0,60.0,,
0CT9,60.0,75.0,,
0D6,2150.0,300.0,,
0D6,2345.0,300.0,,
0D7,1955.0,110.0,40.79059982299805,-83.82550048828125
0E9,3270.0,80.0,,
0E9,3000.0,100.0,,
0FA0,200.0,150.0,,
0FA1,1800.0,75.0,,
0FA2,50.0,50.0,,
0FA3,20.0,20.0,,
0FA6,45.0,45.0,,
0FD0,4000.0,75.0,,
0FD1,50.0,40.0,,
0FD2,48.0,48.0,,
0FD3,2100.0,50.0,,
0FD3,4000.0,40.0,,
0FD5,2100.0,100.0,,
0FD6,3000.0,100.0,,
0FD9,1975.0,60.0,,
0FL0,2300.0,100.0,,
0FL1,2575.0,50.0,,
0FL2,2000.0,100.0,,
0FL3,60.0,60.0,,
0FL4,100.0,100.0,,
0FL5,2000.0,100.0,,
0FL6,500.0,60.0,,
0FL7,35.0,35.0,,
0FL8,2000.0,100.0,,
0FL9,3400.0,116.0,,
0FL9,2750.0,100.0,,
0G0,2830.0,50.0,43.10309982299805,-78.6980972290039
0G5,3000.0,2000.0,,
0G5,15000.0,1500.0,,
0GA0,2150.0,50.0,,
0GA1,2000.0,75.0,,
0GA2,2600.0,60.0,,
0GA3,2000.0,100.0,,
0GA5,100.0,100.0,,
0GA6,2100.0,150.0,,
0GA8,3000.0,100.0,,
0GA9,4400.0,100.0,,
0GE0,2000.0,30.0,,
0GE1,3000.0,40.0,,
0GE3,2000.0,50.0,,
0GE4,1045.0,80.0,,
0GE4,1000.0,80.0,,
0GE5,2500.0,200.0,,
0GE7,3000.0,90.0,,
0GE9,2000.0,100.0,,
0H7,2680.0,115.0,40.42110061645508,-91.70189666748048
0I2,2941.0,40.0,39.47669982910156,-87.09449768066406
0IA0,65.0,65.0,,
0IA1,42.0,42.0,,
0IA2,60.0,50.0,,
0IA4,3000.0,100.0,,
0IA5,2000.0,60.0,,
0IA6,2600.0,80.0,,
0IA7,145.0,145.0,,
0IA7,45.0,40.0,,
0IA8,1280.0,70.0,,
0IA9,50.0,50.0,,
0ID0,3000.0,80.0,,
0ID1,1900.0,75.0,,
0ID2,6507.0,75.0,44.43980026245117,-113.76100158691406
0ID3,2640.0,50.0,,
0ID4,3150.0,80.0,,
0ID5,1460.0,40.0,,
0ID6,40.0,40.0,,
0ID7,2600.0,50.0,,
0ID8,800.0,50.0,,
0ID9,2308.0,60.0,46.786109924316406,-116.47113037109376
0II0,1500.0,50.0,,
0II1,1300.0,60.0,,
0II2,1300.0,75.0,,
0II3,2400.0,50.0,,
0II6,3000.0,100.0,,
0II7,2500.0,100.0,,
0II8,1400.0,100.0,,
0II9,1600.0,75.0,,
0IL0,30.0,30.0,,
0IL1,90.0,90.0,,
0IL2,1600.0,100.0,,
0IL3,1800.0,200.0,,
0IL4,40.0,40.0,,
0IL6,40.0,40.0,,
0IL6,40.0,40.0,,
0IL7,2024.0,100.0,39.7801399230957,-88.54669189453125
0IL8,1600.0,100.0,,
0IL9,2800.0,100.0,,
0IN1,2000.0,75.0,,
0IN2,1300.0,60.0,,
0IN2,2900.0,60.0,,
0IN3,2200.0,50.0,,
0IN4,2440.0,30.0,,
0IN5,1200.0,150.0,,
0IN7,50.0,50.0,,
0IN8,50.0,50.0,,
0IN9,2400.0,100.0,,
0IS0,40.0,40.0,,
0IS2,60.0,60.0,,
0IS3,2500.0,60.0,,
0IS4,2415.0,60.0,,
0IS6,100.0,100.0,,
0IS9,500.0,500.0,,
0J0,2915.0,80.0,31.596200942993164,-85.23750305175781
0J8,3200.0,170.0,,
0JY9,50.0,40.0,,
0K6,1575.0,150.0,,
0KS0,2600.0,100.0,,
0KS2,2400.0,150.0,,
0KS4,2000.0,65.0,,
0KS6,2295.0,100.0,,
0KS7,2000.0,75.0,,
0KS8,1700.0,60.0,,
0KS9,3000.0,150.0,,
0KY0,2300.0,70.0,,
0KY1,3200.0,75.0,36.76499938964844,-86.61289978027344
0KY2,35.0,35.0,,
0KY3,30.0,30.0,,
0KY4,1675.0,75.0,,
0KY5,2800.0,100.0,,
0KY6,80.0,20.0,,
0KY7,2200.0,60.0,,
0KY8,2300.0,60.0,,
0L4,6100.0,80.0,,
0L6,50.0,50.0,,
0LA0,25.0,25.0,,
0LA1,3000.0,100.0,,
0LA3,2700.0,180.0,,
0LA4,40.0,40.0,,
0LA5,400.0,400.0,,
0LA7,750.0,25.0,,
0LA8,50.0,50.0,,
0LA9,2200.0,100.0,,
0LL0,2030.0,70.0,,
0LL1,2500.0,120.0,,
0LL2,2600.0,75.0,,
0LL3,2000.0,100.0,,
